"report_number","crash_year","crash_date_time","total_number_of_vehicles","total_number_of_persons","latitude","longitude","vehicle_number","person_number","injury_severity","non_motorist_description_code","role"
89149639,2020,"2020-06-06 15:08",1,2,30.459293,-84.24825,1,1,1,0,D
89149644,2020,"2020-06-06 21:15",1,1,30.508638,-84.247086,1,1,1,0,D
89149651,2020,"2020-06-07 03:26",2,2,30.463545,-84.3025,1,1,1,0,D
89149651,2020,"2020-06-07 03:26",2,2,30.463545,-84.3025,2,2,1,0,D
89149652,2020,"2020-06-07 09:15",1,1,30.451065,-84.34224,1,1,1,0,D
89149653,2020,"2020-06-07 12:37",2,2,30.438223,-84.27957,1,1,1,0,D
89149653,2020,"2020-06-07 12:37",2,2,30.438223,-84.27957,2,2,3,0,D
89149654,2020,"2020-06-07 13:20",2,2,30.458408,-84.28083,1,1,1,0,D
89149654,2020,"2020-06-07 13:20",2,2,30.458408,-84.28083,2,2,1,0,D
89149761,2020,"2020-06-14 20:30",2,3,30.452951,-84.337685,1,1,,0,D
89149761,2020,"2020-06-14 20:30",2,3,30.452951,-84.337685,2,2,1,0,D
89149585,2020,"2020-06-03 16:33",2,2,30.437613,-84.299324,1,1,1,0,D
89149585,2020,"2020-06-03 16:33",2,2,30.437613,-84.299324,2,2,1,0,D
89149586,2020,"2020-06-03 17:02",2,4,30.435532,-84.285545,1,1,,0,D
89149586,2020,"2020-06-03 17:02",2,4,30.435532,-84.285545,2,2,1,0,D
89149587,2020,"2020-06-03 15:16",2,4,30.451466,-84.29676,1,1,1,0,D
89149587,2020,"2020-06-03 15:16",2,4,30.451466,-84.29676,2,2,1,0,D
89149598,2020,"2020-06-04 15:39",2,4,30.448956,-84.306625,1,1,1,0,D
89149598,2020,"2020-06-04 15:39",2,4,30.448956,-84.306625,2,2,1,0,D
88232140,2020,"2020-07-10 15:45",1,2,30.47812,-84.35626,1,1,1,0,D
89149623,2020,"2020-06-05 22:30",2,1,30.45791,-84.232544,1,1,,0,D
90109666,2020,"2020-07-06 19:12",2,2,30.438046,-84.280136,1,1,1,0,D
90109666,2020,"2020-07-06 19:12",2,2,30.438046,-84.280136,2,2,1,0,D
90109700,2020,"2020-07-08 20:44",2,5,30.412664,-84.28074,1,1,1,0,D
90109700,2020,"2020-07-08 20:44",2,5,30.412664,-84.28074,2,2,1,0,D
90109703,2020,"2020-07-08 16:35",4,4,30.42718,-84.22862,1,1,1,0,D
