"report_number","crash_year","crash_date_time","total_number_of_vehicles","total_number_of_persons","latitude","longitude","vehicle_number","person_number","injury_severity","non_motorist_description_code","role"
24211781,2021,"2021-03-12 11:02",2,2,25.782389,-80.26737,1,1,1,0,D
24211781,2021,"2021-03-12 11:02",2,2,25.782389,-80.26737,2,2,1,0,D
24252041,2020,"2020-12-03 16:50",3,3,,,1,1,1,0,D
24252041,2020,"2020-12-03 16:50",3,3,,,2,2,2,0,D
24252041,2020,"2020-12-03 16:50",3,3,,,3,3,1,0,D
24338911,2021,"2021-01-28 13:50",2,3,30.434385,-84.301994,1,1,1,0,D
24338911,2021,"2021-01-28 13:50",2,3,30.434385,-84.301994,2,2,1,0,D
24338911,2021,"2021-01-28 13:50",2,3,30.434385,-84.301994,2,3,1,0,P
24338912,2021,"2021-01-28 18:15",1,1,30.505993,-84.290596,1,1,,0,D
24338913,2021,"2021-01-28 17:45",2,5,30.4667,-84.209816,1,1,1,0,D
24338913,2021,"2021-01-28 17:45",2,5,30.4667,-84.209816,2,2,1,0,D
24338913,2021,"2021-01-28 17:45",2,5,30.4667,-84.209816,1,3,1,0,P
24338913,2021,"2021-01-28 17:45",2,5,30.4667,-84.209816,1,4,1,0,P
24338913,2021,"2021-01-28 17:45",2,5,30.4667,-84.209816,1,5,1,0,P
24338914,2021,"2021-01-28 18:30",1,1,30.545725,-84.22577,1,1,,0,D
24338915,2021,"2021-01-28 17:53",4,5,30.57385,-84.229904,1,1,1,0,D
24338915,2021,"2021-01-28 17:53",4,5,30.57385,-84.229904,2,2,1,0,D
24338915,2021,"2021-01-28 17:53",4,5,30.57385,-84.229904,3,3,1,0,D
24338915,2021,"2021-01-28 17:53",4,5,30.57385,-84.229904,4,4,1,0,D
24338915,2021,"2021-01-28 17:53",4,5,30.57385,-84.229904,2,5,1,0,P
24338916,2021,"2021-01-25 05:00",2,1,30.49186,-84.31705,1,1,1,0,P
24338917,2021,"2021-01-29 18:58",3,5,30.460117,-84.2276,1,1,1,0,D
24338917,2021,"2021-01-29 18:58",3,5,30.460117,-84.2276,2,2,1,0,D
24338917,2021,"2021-01-29 18:58",3,5,30.460117,-84.2276,3,3,1,0,D
24338917,2021,"2021-01-29 18:58",3,5,30.460117,-84.2276,2,4,1,0,P
24338917,2021,"2021-01-29 18:58",3,5,30.460117,-84.2276,2,5,1,0,P
24338918,2021,"2021-01-30 12:19",2,5,30.501398,-84.32861,1,1,2,0,D
24338918,2021,"2021-01-30 12:19",2,5,30.501398,-84.32861,2,2,2,0,D
24338918,2021,"2021-01-30 12:19",2,5,30.501398,-84.32861,1,3,2,0,P
24338918,2021,"2021-01-30 12:19",2,5,30.501398,-84.32861,1,4,1,0,P
24338918,2021,"2021-01-30 12:19",2,5,30.501398,-84.32861,2,5,1,0,P
24338919,2021,"2021-01-29 09:03",1,1,30.597294,-84.22095,1,1,3,0,D
24338920,2021,"2021-01-27 14:32",1,1,30.460302,-84.39107,1,1,1,0,D
24338921,2021,"2021-02-01 08:21",2,2,30.466734,-84.209755,1,1,1,0,D
24338921,2021,"2021-02-01 08:21",2,2,30.466734,-84.209755,2,2,2,0,D
24338922,2021,"2021-01-22 21:09",3,1,30.441269,-84.33817,1,1,3,0,D
24338923,2021,"2021-02-02 18:50",2,4,30.501675,-84.162544,1,1,1,0,D
24338923,2021,"2021-02-02 18:50",2,4,30.501675,-84.162544,2,2,1,0,D
24338923,2021,"2021-02-02 18:50",2,4,30.501675,-84.162544,1,3,1,0,P
24338923,2021,"2021-02-02 18:50",2,4,30.501675,-84.162544,2,4,1,0,P
24338924,2021,"2021-01-27 09:00",2,1,30.447748,-84.347725,1,1,1,0,D
24338925,2021,"2021-01-31 13:22",2,2,30.44163,-84.43102,1,1,1,0,D
24338925,2021,"2021-01-31 13:22",2,2,30.44163,-84.43102,,2,1,2,N
24338926,2021,"2021-02-03 14:40",2,2,30.394018,-84.32212,1,1,,0,D
24338926,2021,"2021-02-03 14:40",2,2,30.394018,-84.32212,2,2,2,0,D
24338927,2021,"2021-02-03 20:00",1,1,30.569172,-84.175606,1,1,1,0,D
24338928,2021,"2021-02-03 09:09",2,2,30.463503,-84.21194,1,1,1,0,D
24338928,2021,"2021-02-03 09:09",2,2,30.463503,-84.21194,2,2,1,0,D
24338929,2021,"2021-02-04 08:24",1,3,30.423887,-84.30343,1,1,1,0,D
24338929,2021,"2021-02-04 08:24",1,3,30.423887,-84.30343,1,2,1,0,P
24338929,2021,"2021-02-04 08:24",1,3,30.423887,-84.30343,1,3,3,0,P
24338930,2021,"2021-02-04 11:40",2,3,30.466637,-84.21014,1,1,1,0,D
24338930,2021,"2021-02-04 11:40",2,3,30.466637,-84.21014,2,2,2,0,D
24338930,2021,"2021-02-04 11:40",2,3,30.466637,-84.21014,1,3,1,0,P
24338931,2021,"2021-02-05 15:30",2,2,30.459024,-84.35661,1,1,1,0,D
24338931,2021,"2021-02-05 15:30",2,2,30.459024,-84.35661,,2,1,5,N
24338932,2021,"2021-02-05 09:55",2,2,30.361448,-84.29971,1,1,1,0,D
24338932,2021,"2021-02-05 09:55",2,2,30.361448,-84.29971,2,2,1,0,D
24338933,2021,"2021-01-23 12:10",2,2,30.48509,-84.29927,1,1,1,0,D
24338933,2021,"2021-01-23 12:10",2,2,30.48509,-84.29927,2,2,1,0,D
